CPU,Total Ram,Total Storage,Internet,Core
0.9,15,916,1000,8
2.5,7.4,116,100,6
0.8,7.3,116,1000,6
0.8,3.9,59,100,4
4.5,3.9,30,1000,4
4.9,3.9,30,100,4
3.7,3.9,30,1000,4
0.8,5.8,39,10000,2
0.9,5.8,29,10000,2
2.0,5.8,49,10000,2
2.5,5.8,29,10000,2
1.1,5.8,49,10000,2
0.2,5.8,29,10000,2
0.5,5.8,29,10000,2
0.6,5.8,49,1000,2
0.5,5.8,29,10000,2
10.3,5.8,29,10000,2
13.8,3.9,59,1000,4
